Atomic Number,Name,(Symbol),Atomicity
1,Hydrogen,(H),2
2,Helium,(He),1
3,Lithium,(Li),1
4,Beryllium,(Be),1
5,Boron,(B),1
6,Carbon,(C),1
7,Nitrogen,(N),2
8,Oxygen,(O),2
9,Fluorine,(F),2
10,Neon,(Ne),1
11,Sodium,(Na),1
12,Magnesium,(Mg),1
13,Aluminium,(Al),1
14,Silicon,(Si),1
15,Phosphorus,(P),4
16,Sulphur,(S),8
17,Chlorine,(Cl),2
18,Argon,(Ar),1
19,Potassium,(K),1
20,Calcium,(Ca),1
21,Scandium,(Sc),1
22,Titanium,(Ti),1
23,Vanadium,(V),1
24,Chromium,(Cr),1
25,Manganese,(Mn),1
26,Iron,(Fe),1
27,Cobalt,(Co),1
28,Nickel,(Ni),1
29,Copper,(Cu),1
30,Zinc,(Zn),1
